63184,242088,4,-1
63186,33115,4,-1
46601,50014,4,-1
87150,12545,4,-1
134599,4498,3,-1
81849,142084,4,-1
121285,39356,2,-1
17282,666,4,-1
23963,805,3,-1
31597,209293,4,-1
99131,29785,3,-1
31592,33389,4,-1
79536,25350,5,-1
29267,179179,4,-1
133272,34714,3,-1
113661,19398,4,-1
87157,330711,3,-1
113660,2574,4,-1
10655,18203,4,-1
113647,162145,4,-1
42235,25690,3,-1
68882,47459,3,-1
47928,16550,4,-1
67559,33095,4,-1
22642,17346,3,-1
126958,53864,4,-1
2315,178946,3,-1
35941,205321,3,-1
126954,152938,4,-1
54245,526,4,-1
58609,27449,4,-1
104704,58882,4,-1
63191,13188,5,-1
68880,126777,3,-1
133281,67967,4,-1
137647,61475,3,-1
22614,84340,4,-1
87174,91217,3,-1
93854,31668,3,-1
136314,31297,3,-1
18596,117478,3,-1
102980,17240,3,-1
17265,15258,5,-1
79550,128437,4,-1
54253,49835,4,-1
79555,15560,4,-1
60931,13636,4,-1
55588,28592,3,-1
133295,20540,3,-1
93848,25773,5,-1
93846,27450,3,-1
100312,29743,2,-1
100312,53543,3,-1
10630,152601,4,-1
102978,the+lumi%C3%A8re+brothers%27+first+films+1996,4,-1
23957,ghosts+of+cit%C3%A9+soleil+2006,4,-1
43544,464,4,-1
67574,30966,4,-1
66248,1039,4,-1
23951,22460,3,-1
54262,10179,3,-1
60935,2012,3,-1
108293,32694,3,-1
59955,127585,4,-1
59955,11676,4,-1
60943,87911,3,-1
125602,51863,4,-1
10648,51423,4,-1
54268,251,4,-1
78219,78182,4,-1
101655,140781,5,-1
72916,73408,4,-1
125609,43075,4,-1
11975,17431,4,-1
134556,483,3,-1
23922,218329,4,-1
38185,39312,3,-1
93872,265208,3,-1
42203,1933,3,-1
133222,36072,4,-1
92544,68780,3,-1
128710,221667,4,-1
80558,343693,4,-1
29227,14834,4,-1
81889,29454,4,-1
6708,60076,3,-1
103409,48153,3,-1
26195,116569,3,-1
128708,33684,4,-1
81892,4780,2,-1
10618,47369,3,-1
59963,282297,4,-1
32880,15497,5,-1
54278,232018,3,-1
30229,113655,4,-1
128703,26466,4,-1
80560,42538,4,-1
58638,11484,4,-1
3679,84086,5,-1
57309,949,2,-1
92531,60438,3,-1
17257,256731,2,-1
40491,103516,4,-1
135895,238222,4,-1
22607,462,4,-1
17254,14024,4,-1
116710,19738,4,-1
81878,42668,4,-1
84905,25471,5,-1
54281,11897,3,-1
1028,127817,4,-1
29231,38714,4,-1
80557,24868,3,-1
80557,19419,3,-1
111031,60773,4,-1
91233,44921,4,-1
134574,53198,4,-1
124332,27793,3,-1
58651,103663,5,-1
44845,118204,4,-1
84939,131880,3,-1
84938,140,3,-1
44846,9902,4,-1
84943,1640,4,-1
58656,103972,4,-1
60976,19968,4,-1
78267,146381,3,-1
126987,13457,4,-1
58653,19361,3,-1
3696,44154,2,-1
96919,109410,5,-1
66270,71730,3,-1
31538,87065,4,-1
112351,26190,3,-1
91228,50562,4,-1
19888,1552,3,-1
134589,43250,3,-1
72967,17204,4,-1
92554,43439,4,-1
20884,9902,1,-1
44832,63460,4,-1
19897,142507,3,-1
96910,89501,4,-1
44838,48967,3,-1
29219,149893,4,-1
40478,f%2Fx+1986,4,-1
137619,74306,3,-1
93880,288413,4,-1
84928,116569,4,-1
80575,42658,3,-1
26184,36223,4,-1
78256,45778,4,-1
83603,30624,2,-1
11937,37768,4,-1
126974,159095,4,-1
112341,231472,4,-1
104723,37517,4,-1
5404,1666,4,-1
100368,45806,4,-1
134590,83738,3,-1
17239,119288,3,-1
20058,1944,3,-1
49714,97365,4,-1
46689,20945,4,-1
6750,the+magic+of+m%C3%A9li%C3%A8s+1997,5,-1
63102,132363,4,-1
45355,9322,3,-1
44024,220620,4,-1
73388,88922,4,-1
2397,60011,5,-1
114104,14160,4,-1
72055,81332,3,-1
59085,29269,3,-1
49718,45035,4,-1
12438,8393,4,-1
53780,79406,4,-1
127416,52359,4,-1
1057,267355,5,-1
5412,40719,4,-1
46683,13617,4,-1
84047,19215,4,-1
6746,17908,4,-1
136388,349,3,-1
77758,167161,4,-1
